5,86,10/8/2005,A,2005
5,129,10/1/2005,H,2005
5,559,9/10/2005,A,2005
5,414,10/15/2005,A,2005
5,331,11/24/2005,H,2005
5,503,9/24/2005,H,2005
5,419,9/17/2005,A,2005
5,725,10/22/2005,H,2005
5,47,11/5/2005,A,2005
5,71,10/29/2005,A,2005
5,519,11/15/2005,H,2005
8,694,10/22/2005,H,2005
8,235,10/1/2005,H,2005
8,365,11/12/2005,H,2005
8,731,10/29/2005,H,2005
8,648,9/17/2005,A,2005
8,664,9/10/2005,H,2005
8,430,11/5/2005,A,2005
8,433,10/15/2005,A,2005
8,419,9/3/2005,H,2005
8,37,11/19/2005,A,2005
8,31,9/24/2005,H,2005
9,128,11/12/2005,H,2005
9,663,10/8/2005,H,2005
9,664,10/21/2005,H,2005
9,315,9/17/2005,H,2005
9,196,11/26/2005,A,2005
9,694,9/3/2005,A,2005
9,704,11/19/2005,A,2005
9,388,10/15/2005,A,2005
9,404,11/1/2005,A,2005
9,574,10/1/2005,H,2005
9,716,9/10/2005,A,2005
28,754,11/5/2005,A,2005
28,756,10/29/2005,H,2005
28,529,10/8/2005,H,2005
28,365,9/10/2005,H,2005
28,528,9/24/2005,A,2005
28,110,11/12/2005,A,2005
28,674,10/22/2005,A,2005
28,509,9/17/2005,H,2005
28,29,11/25/2005,H,2005
28,690,9/1/2005,H,2005
28,657,10/1/2005,H,2005
29,107,10/1/2005,A,2005
29,559,9/17/2005,H,2005
29,28,11/25/2005,A,2005
29,674,10/15/2005,H,2005
29,657,10/8/2005,A,2005
29,110,11/5/2005,H,2005
29,756,11/12/2005,H,2005
29,528,10/29/2005,A,2005
29,529,10/22/2005,H,2005
29,732,9/2/2005,A,2005
29,501,9/10/2005,H,2005
30,695,9/10/2005,H,2005
30,716,11/12/2005,H,2005
30,229,10/22/2005,H,2005
30,497,11/26/2005,A,2005
30,725,11/19/2005,A,2005
30,671,10/13/2005,H,2005
30,521,9/17/2005,A,2005
30,231,9/24/2005,H,2005
30,419,11/5/2005,A,2005
30,498,10/1/2005,A,2005
30,434,9/3/2005,N,2005
31,648,11/5/2005,H,2005
31,37,10/15/2005,H,2005
31,8,9/24/2005,A,2005
31,430,11/19/2005,N,2005
31,498,10/8/2005,H,2005
31,433,11/12/2005,A,2005
31,257,10/22/2005,A,2005
31,669,9/3/2005,H,2005
31,657,9/17/2005,A,2005
31,736,9/10/2005,H,2005
31,365,11/25/2005,A,2005
37,772,9/24/2005,H,2005
37,47,9/17/2005,H,2005
37,365,10/22/2005,A,2005
37,255,9/3/2005,H,2005
37,648,10/1/2005,H,2005
